Name,Role,Party,Treaty,Date,Location,Geocoordinates
"Knox, Henry, 1750-1806",Secretary for the Department of War,United States,"Muscogee Treaty, or A Treaty of Peace and Friendship with the Creeks",August 7 1790,"New York, New York","40.712776, -74.005974"
"McGillivray, Alexander, approximately 1740-1793",Chief,Creek Nation,"Muscogee Treaty, or A Treaty of Peace and Friendship with the Creeks",August 7 1790,"New York, New York","40.712776, -74.005974"
"Washington, George, 1732-1799",United States President,United States,"Muscogee Treaty, or A Treaty of Peace and Friendship with the Creeks",August 7 1790,"New York, New York","40.712776, -74.005974"
"Jefferson, Thomas, 1743-1826",Secretary of State,United States,"Muscogee Treaty, or A Treaty of Peace and Friendship with the Creeks",August 7 1790,"New York, New York","40.712776, -74.005974"
"Fuskatche Mico, or Birdtail King",,"Creek Nation, Cusetahs","Muscogee Treaty, or A Treaty of Peace and Friendship with the Creeks",August 7 1790,"New York, New York","40.712776, -74.005974"
"Neathlock, or Second Man",,"Creek Nation, Cusetahs","Muscogee Treaty, or A Treaty of Peace and Friendship with the Creeks",August 7 1790,"New York, New York","40.712776, -74.005974"
"Halletemalthle, or Blue Giver",,"Creek Nation, Cusetahs","Muscogee Treaty, or A Treaty of Peace and Friendship with the Creeks",August 7 1790,"New York, New York","40.712776, -74.005974"
"Opay Mico, or the Singer",,"Creek Nation, Little Tallisee","Muscogee Treaty, or A Treaty of Peace and Friendship with the Creeks",August 7 1790,"New York, New York","40.712776, -74.005974"
"Totkeshajou, or Samoniac",,"Creek Nation, Little Tallisee","Muscogee Treaty, or A Treaty of Peace and Friendship with the Creeks",August 7 1790,"New York, New York","40.712776, -74.005974"
"Hopothe Mico, or Tallisee King",,"Creek Nation, Big Tallisee","Muscogee Treaty, or A Treaty of Peace and Friendship with the Creeks",August 7 1790,"New York, New York","40.712776, -74.005974"
"Opototache, or Long Side",,"Creek Nation, Big Tallisee","Muscogee Treaty, or A Treaty of Peace and Friendship with the Creeks",August 7 1790,"New York, New York","40.712776, -74.005974"
"Soholessee, or Young Second Man",,"Creek Nation, Tuckabatehy","Muscogee Treaty, or A Treaty of Peace and Friendship with the Creeks",August 7 1790,"New York, New York","40.712776, -74.005974"
"Oeheehajou, or Aleck Cornel",,"Creek Nation, Tuckabatehy","Muscogee Treaty, or A Treaty of Peace and Friendship with the Creeks",August 7 1790,"New York, New York","40.712776, -74.005974"
"Chinabie, or the Great Natehez Warrior",,"Creek Nation, Natehez","Muscogee Treaty, or A Treaty of Peace and Friendship with the Creeks",August 7 1790,"New York, New York","40.712776, -74.005974"
"Natsowachehee, or the Great Natehez Warrior's Brother",,"Creek Nation, Natehez","Muscogee Treaty, or A Treaty of Peace and Friendship with the Creeks",August 7 1790,"New York, New York","40.712776, -74.005974"
"Thakoteehee, or the Mole",,"Creek Nation, Natehez","Muscogee Treaty, or A Treaty of Peace and Friendship with the Creeks",August 7 1790,"New York, New York","40.712776, -74.005974"
Oquakahee,,"Creek Nation, Natehez","Muscogee Treaty, or A Treaty of Peace and Friendship with the Creeks",August 7 1790,"New York, New York","40.712776, -74.005974"
"Tuskenaah, or Big Lieutenant",,"Creek Nation, Cowetas","Muscogee Treaty, or A Treaty of Peace and Friendship with the Creeks",August 7 1790,"New York, New York","40.712776, -74.005974"
"Homatah, or Leader",,"Creek Nation, Cowetas","Muscogee Treaty, or A Treaty of Peace and Friendship with the Creeks",August 7 1790,"New York, New York","40.712776, -74.005974"
"Chirmabie, or Matthews",,"Creek Nation, Cowetas","Muscogee Treaty, or A Treaty of Peace and Friendship with the Creeks",August 7 1790,"New York, New York","40.712776, -74.005974"
"Juleetaulematha, or Dry Pine Of the Broken Arrow",,"Creek Nation, Cowetas","Muscogee Treaty, or A Treaty of Peace and Friendship with the Creeks",August 7 1790,"New York, New York","40.712776, -74.005974"
Chawookly Mico,,"Creek Nation, Cowetas","Muscogee Treaty, or A Treaty of Peace and Friendship with the Creeks",August 7 1790,"New York, New York","40.712776, -74.005974"
"Coosades Hopoy, or the Measurer",,"Creek Nation, Coosades","Muscogee Treaty, or A Treaty of Peace and Friendship with the Creeks",August 7 1790,"New York, New York","40.712776, -74.005974"
"Muthtee, the Misser",,"Creek Nation, Coosades","Muscogee Treaty, or A Treaty of Peace and Friendship with the Creeks",August 7 1790,"New York, New York","40.712776, -74.005974"
"Stimafutchkee, or Good Humor",,"Creek Nation, Coosades","Muscogee Treaty, or A Treaty of Peace and Friendship with the Creeks",August 7 1790,"New York, New York","40.712776, -74.005974"
"Stilnaleeje, or Disputer",Chief,"Creek Nation, Alabama","Muscogee Treaty, or A Treaty of Peace and Friendship with the Creeks",August 7 1790,"New York, New York","40.712776, -74.005974"
"Mumagechee, or David Francis",,"Creek Nation, Oaksoys","Muscogee Treaty, or A Treaty of Peace and Friendship with the Creeks",August 7 1790,"New York, New York","40.712776, -74.005974"
Richard Morris,,New York,"Muscogee Treaty, or A Treaty of Peace and Friendship with the Creeks",August 7 1790,"New York, New York","40.712776, -74.005974"
Richard Varick,New York City Mayor,New York,"Muscogee Treaty, or A Treaty of Peace and Friendship with the Creeks",August 7 1790,"New York, New York","40.712776, -74.005974"
Marinus Willet,,New York,"Muscogee Treaty, or A Treaty of Peace and Friendship with the Creeks",August 7 1790,"New York, New York","40.712776, -74.005974"
Thomas Lee Shipper,,Pennsylvania,"Muscogee Treaty, or A Treaty of Peace and Friendship with the Creeks",August 7 1790,"New York, New York","40.712776, -74.005974"
"John Rutledge, Jr.",,United States,"Muscogee Treaty, or A Treaty of Peace and Friendship with the Creeks",August 7 1790,"New York, New York","40.712776, -74.005974"
Joseph Allen Smith,,United States,"Muscogee Treaty, or A Treaty of Peace and Friendship with the Creeks",August 7 1790,"New York, New York","40.712776, -74.005974"
Henry Izard,,United States,"Muscogee Treaty, or A Treaty of Peace and Friendship with the Creeks",August 7 1790,"New York, New York","40.712776, -74.005974"
Joseph Cornell,United States Interpreter,United States,"Muscogee Treaty, or A Treaty of Peace and Friendship with the Creeks",August 7 1790,"New York, New York","40.712776, -74.005974"
E. V. Summer,"United States Bvt. Colonel, commanding Ninth Department, New Mexico.",United States,Treaty with the Apache,July 1 1852,"Sante Fe, New Mexico","35.687000, -105.937798"
John Greiner,"Acting Supt. Indian Affairs, New Mexico",Territory of New Mexico,Treaty with the Apache,July 1 1852,"Sante Fe, New Mexico","35.687000, -105.937798"
Capitan Vuelta,,Apache Nation,Treaty with the Apache,July 1 1852,"Sante Fe, New Mexico","35.687000, -105.937798"
